,item_id,item_name,average_price,minimum_price,maximum_price,price_std,quotation_count
46,ITEM047,Desk,82635.654,2241.27,145972.56,42712.33211566739,85
8,ITEM009,Desk,82546.19322580646,7727.52,147838.13,43118.12364610338,62
18,ITEM019,Keyboard,82296.78440677967,1955.03,148650.31,42860.25828538755,59
0,ITEM001,Desk,81565.59126760565,5594.05,146613.35,41903.43654085167,71
19,ITEM020,Network Switch,80964.97032258064,5724.17,149329.7,43040.20580574713,62
15,ITEM016,UPS,80790.37865671642,3804.56,148506.23,46724.14340451304,67
31,ITEM032,Office Chair,80695.81227272727,603.34,147642.69,46144.571426991555,44
16,ITEM017,Desk,80584.19200000001,3006.03,149104.42,41305.81158267841,85
40,ITEM041,Projector,79551.914,4259.85,149059.76,43824.40424169864,60
45,ITEM046,Printer,79055.71842105263,1548.66,149665.41,40838.47511616411,76
7,ITEM008,Network Switch,78908.87529411765,1164.76,146952.45,45519.7843794414,51
24,ITEM025,UPS,78626.42333333332,1095.54,149992.11,41778.933621083226,84
12,ITEM013,Server,78425.50376811594,3686.43,148795.6,42541.86527850685,69
36,ITEM037,Server,78393.11636363636,3254.35,149025.45,40092.00842057033,66
39,ITEM040,Tablet,78091.4982,3836.73,148161.15,41031.893166098096,50
30,ITEM031,Server,78006.64234567902,2162.1,149957.19,44959.198847990556,81
1,ITEM002,Router,77884.65577464788,1173.66,149141.38,42259.06329727032,71
49,ITEM050,Monitor,77851.86026666667,1142.88,148931.28,43005.216314205565,75
21,ITEM022,Tablet,77674.8034920635,6966.54,141760.52,43111.69826749065,63
11,ITEM012,Desk,77573.04593220339,1085.28,149134.35,46827.1791834705,59
37,ITEM038,Printer,77328.38816901408,7456.66,148865.85,42283.59861491145,71
33,ITEM034,UPS,76770.01258620691,9276.16,145785.44,42578.40166706819,58
25,ITEM026,Desktop Computer,76749.94935897435,696.95,149058.94,36212.06519482882,78
29,ITEM030,Router,76511.76576086957,842.29,145801.56,45784.53965576029,92
5,ITEM006,Network Switch,76214.3553125,1435.88,147933.31,44337.213354722866,64
2,ITEM003,Monitor,76064.92896551725,1344.42,149597.56,44329.77738833891,87
43,ITEM044,Mouse,75969.8885,1291.73,149723.3,42953.98029072766,80
32,ITEM033,Tablet,75897.5331372549,2797.38,145978.75,47134.06393663676,51
28,ITEM029,Desk,75718.89281690141,1358.47,148723.23,43051.68482514845,71
17,ITEM018,Desk,75694.16905882354,954.49,148863.11,43046.29256908333,85
42,ITEM043,Router,75664.02636363637,1689.39,144514.56,44784.01706730158,66
38,ITEM039,UPS,75531.6615942029,890.85,149868.89,45326.07924283176,69
35,ITEM036,Server,75378.46151898734,2804.69,149382.4,37286.08309552992,79
34,ITEM035,Keyboard,75195.96350649351,5590.12,147875.84,43526.49457039171,77
26,ITEM027,Server,74948.205,1923.69,149481.87,44348.23865492769,74
6,ITEM007,Business Laptop,74187.9175,2828.48,146586.67,42347.830818226015,52
23,ITEM024,Desktop Computer,73318.8368115942,5969.57,148832.19,45265.463270377186,69
22,ITEM023,Projector,72763.40217391304,2765.35,147704.11,44001.44771759543,46
47,ITEM048,Mouse,71964.0586111111,1803.78,146909.02,42023.082262810705,72
10,ITEM011,Server,70845.22869565217,3325.76,149669.4,41930.74362264231,46
9,ITEM010,Office Chair,69559.19622222222,603.18,149758.76,40900.116158526864,90
48,ITEM049,Mouse,69525.97616666667,1850.46,149953.86,50226.3738779183,60
13,ITEM014,UPS,69376.17258426966,2318.31,143612.34,36862.67925726865,89
41,ITEM042,UPS,69112.94388888888,1488.06,144200.45,40530.296231450724,108
14,ITEM015,Tablet,69065.58366666667,867.99,148508.72,43804.94166531839,90
20,ITEM021,Monitor,69063.39714285714,1504.97,148772.16,40854.93757556537,63
3,ITEM004,Monitor,68683.89982142857,529.57,149845.86,41941.01567148753,56
4,ITEM005,Desktop Computer,67694.46102272728,893.07,146546.21,43584.158899340015,88
44,ITEM045,UPS,65819.38901639344,1056.05,149446.65,43174.768812667186,61
27,ITEM028,Desktop Computer,63869.98323529412,518.67,146112.31,38643.565917895125,68
