order_month,total_amount
2024-01,92797595.49
2024-02,78938204.53999999
2024-03,72179995.96
2024-04,88581538.61
2024-05,101030643.67
2024-06,73270303.61
2024-07,76810224.54
2024-08,98928733.58
2024-09,93744792.28
2024-10,56262019.02
2024-11,83052412.91
2024-12,76625485.85000001
2025-01,84728889.45
2025-02,81441324.39
2025-03,77117517.41
2025-04,82360624.16
2025-05,93629654.91
2025-06,68828796.52
2025-07,72933236.2
2025-08,101196408.99
2025-09,61401207.6
2025-10,85647953.57
2025-11,61336838.26
2025-12,78699375.38
2026-01,120565593.47
2026-02,76396757.36
2026-03,83755149.87
2026-04,71796845.89
2026-05,81488139.04
2026-06,51119226.17
2026-07,64090232.4
2026-08,89450702.44
