supplier_id,average_delay,median_delay,maximum_delay,delivery_count
SUP012,14.833333333333334,11.0,30,6
SUP001,13.666666666666666,15.0,30,6
SUP022,12.5,12.5,30,6
SUP063,11.833333333333334,12.5,30,6
SUP004,11.428571428571429,15.0,30,7
SUP094,11.333333333333334,3.0,30,12
SUP015,11.153846153846153,5.0,30,13
SUP002,11.0,1.0,30,7
SUP034,11.0,8.5,30,14
SUP083,10.75,12.5,30,12
SUP092,10.75,6.0,30,8
SUP098,10.526315789473685,7.0,30,19
SUP097,10.11111111111111,7.0,30,9
SUP042,9.923076923076923,7.0,30,13
SUP016,9.916666666666666,7.5,30,12
SUP018,9.857142857142858,10.0,30,7
SUP060,9.8,6.0,30,10
SUP070,9.4,2.0,30,5
SUP043,9.272727272727273,5.0,30,11
SUP006,9.25,3.5,30,4
SUP038,9.25,2.5,30,16
SUP073,9.0,4.5,30,8
SUP090,9.0,3.0,30,10
SUP093,9.0,2.0,30,9
SUP084,8.5,8.5,30,16
SUP074,8.5,6.0,30,16
SUP059,8.428571428571429,7.0,30,7
SUP033,8.142857142857142,5.0,30,7
SUP047,7.833333333333333,5.0,30,12
SUP027,7.8,2.0,30,10
SUP008,7.75,4.0,30,12
SUP052,7.75,6.0,30,8
SUP065,7.642857142857143,2.0,30,14
SUP045,7.636363636363637,10.0,15,11
SUP100,7.5,5.0,30,12
SUP066,7.333333333333333,7.0,15,3
SUP051,7.2105263157894735,5.0,30,19
SUP079,7.2,1.0,30,5
SUP082,7.142857142857143,3.0,30,7
SUP080,7.090909090909091,5.0,30,11
SUP040,7.0,2.0,30,11
SUP075,7.0,2.5,30,6
SUP035,6.933333333333334,3.0,30,15
SUP019,6.888888888888889,5.0,15,9
SUP036,6.818181818181818,7.0,15,11
SUP025,6.8,3.5,30,10
SUP011,6.75,3.0,30,12
SUP055,6.7272727272727275,3.0,30,11
SUP021,6.714285714285714,1.0,15,7
SUP039,6.666666666666667,2.5,30,6
SUP056,6.5,1.5,30,8
SUP046,6.352941176470588,2.0,30,17
SUP010,6.2,1.0,15,5
SUP054,6.2,4.0,30,20
SUP064,6.166666666666667,5.0,15,12
SUP013,6.0,1.0,30,15
SUP029,6.0,6.0,7,2
SUP024,6.0,5.0,15,5
SUP017,5.875,2.5,30,16
SUP089,5.866666666666666,1.0,30,15
SUP009,5.785714285714286,1.5,30,14
SUP095,5.75,6.0,15,8
SUP077,5.571428571428571,1.0,30,7
SUP050,5.5,2.0,30,12
SUP081,5.5,0.5,30,14
SUP020,5.444444444444445,4.0,15,18
SUP072,5.363636363636363,2.0,30,11
SUP096,5.3,4.0,30,20
SUP048,5.2727272727272725,7.0,15,11
SUP069,5.090909090909091,2.0,30,11
SUP028,5.0,0.0,30,9
SUP031,5.0,2.5,15,6
SUP067,5.0,2.0,30,18
SUP086,4.714285714285714,3.0,10,7
SUP091,4.6,3.0,15,15
SUP007,4.3125,3.0,15,16
SUP062,4.222222222222222,5.0,7,9
SUP068,4.142857142857143,2.0,10,7
SUP076,4.125,2.5,15,8
SUP058,4.111111111111111,1.0,15,9
SUP005,3.888888888888889,2.5,15,18
SUP003,3.8,2.0,10,5
SUP030,3.75,2.0,15,12
SUP053,3.3333333333333335,0.0,15,9
SUP044,3.2142857142857144,2.5,10,14
SUP087,3.0,3.0,3,1
SUP099,3.0,2.5,7,4
SUP071,2.8,2.5,7,10
SUP057,2.6666666666666665,0.5,15,12
SUP023,2.625,1.5,7,8
SUP026,2.6,3.0,7,5
SUP085,2.3333333333333335,1.0,10,12
SUP014,2.2857142857142856,0.0,10,7
SUP049,2.272727272727273,1.0,10,11
SUP061,2.0,0.0,7,6
SUP041,2.0,1.0,7,13
SUP032,1.6666666666666667,2.0,3,3
SUP037,1.0,1.0,2,2
SUP088,0.5,0.5,1,2
SUP078,0.0,0.0,0,3
