supplier_name,order_id
Nova Technologies,54
Global Systems,52
Tech Enterprises,41
Global Solutions,40
Delta Industries,37
Vertex Enterprises,37
Nova Enterprises,35
Vertex Industries,34
Vertex Systems,34
Nova Industries,31
Prime Technologies,31
Gamma Industries,31
Apex Supplies,30
Tech Solutions,30
Alpha Enterprises,27
Global Supplies,25
Apex Industries,23
Global Technologies,23
Beta Supplies,22
Gamma Technologies,22
Beta Technologies,21
Nova Systems,21
Delta Enterprises,21
Prime Systems,20
Tech Systems,19
Apex Solutions,17
Global Industries,16
Vertex Technologies,15
Nova Solutions,15
Beta Enterprises,14
Beta Systems,14
Tech Technologies,12
Delta Supplies,11
Alpha Supplies,11
Prime Solutions,10
Alpha Technologies,10
Beta Industries,10
Alpha Systems,10
Gamma Systems,10
Beta Solutions,9
Alpha Industries,9
Alpha Solutions,9
Apex Enterprises,9
Delta Solutions,8
Prime Industries,7
Prime Supplies,7
Tech Supplies,6
