supplier_id,supplier_name,category,years_in_business,status,order_count,total_spend,average_order_value,average_delivery_delay,median_delivery_delay,maximum_delivery_delay,delivery_count,late_delivery_rate,average_defect_rate,maximum_defect_rate,average_acceptance_rate,inspection_count,quotation_item_count,average_unit_price,average_delivery_days,average_warranty_months,average_discount
SUP001,Alpha Enterprises,Office Supplies,25,Active,9,26357682.52,2928631.3911111113,13.666666666666666,15.0,30,6,83.33333333333334,6.4992339709262765,13.65149833518313,93.50076602907373,5,27,67159.09740740742,52.666666666666664,18.88888888888889,10.08074074074074
SUP002,Global Solutions,Industrial Equipment,20,Active,6,13504299.15,2250716.525,11.0,1.0,30,7,71.42857142857143,12.40506329113924,12.40506329113924,87.59493670886076,1,51,79142.61901960784,49.13725490196079,19.764705882352942,9.150196078431373
SUP003,Vertex Enterprises,IT Equipment,9,Inactive,7,15065787.98,2152255.4257142856,3.8,2.0,10,5,60.0,10.435493737984018,13.486370157819225,89.56450626201598,3,41,81812.38146341464,44.707317073170735,21.804878048780488,9.900975609756097
SUP004,Nova Technologies,Furniture,25,Inactive,8,10370924.93,1296365.61625,11.428571428571429,15.0,30,7,85.71428571428571,6.850011941437046,14.655172413793101,93.14998805856295,15,19,73401.7647368421,46.21052631578947,18.63157894736842,9.66157894736842
SUP005,Nova Enterprises,IT Equipment,13,Active,11,24489580.5,2226325.5,3.888888888888889,2.5,15,18,55.55555555555556,8.445533751551741,12.698412698412698,91.55446624844826,14,25,70034.27160000001,52.68,18.72,10.6548
SUP006,Tech Enterprises,Office Supplies,14,Active,7,21001602.88,3000228.9828571426,9.25,3.5,30,4,50.0,9.15846209166695,13.333333333333334,90.84153790833305,6,32,85772.64156250001,40.21875,20.0625,8.705
SUP007,Alpha Enterprises,Furniture,12,Active,10,25684541.38,2568454.138,4.3125,3.0,15,16,68.75,7.09170184271205,12.023460410557185,92.90829815728794,4,21,82865.36857142857,44.095238095238095,21.714285714285715,13.197142857142856
SUP008,Vertex Systems,Industrial Equipment,5,Active,13,44791300.91,3445484.6853846153,7.75,4.0,30,12,75.0,7.198434962397676,13.75770020533881,92.80156503760233,13,44,80535.43909090909,38.97727272727273,21.0,10.420227272727272
SUP009,Gamma Industries,Office Supplies,24,Active,17,47711287.67,2806546.333529412,5.785714285714286,1.5,30,14,57.14285714285714,6.9043990206967765,13.064516129032258,93.09560097930323,21,35,83112.734,50.542857142857144,21.428571428571427,9.812857142857142
SUP010,Alpha Enterprises,Furniture,2,Active,8,23362200.29,2920275.03625,6.2,1.0,15,5,60.0,10.69911322285023,14.770797962648558,89.30088677714977,4,21,57929.11333333333,54.714285714285715,20.285714285714285,8.91095238095238
SUP011,Prime Solutions,Office Supplies,6,Inactive,10,25864844.37,2586484.437,6.75,3.0,30,12,91.66666666666666,6.615774863040914,14.060258249641318,93.38422513695909,8,24,83185.72499999999,40.666666666666664,18.5,10.329166666666667
SUP012,Apex Enterprises,Furniture,7,Active,9,28106485.08,3122942.7866666666,14.833333333333334,11.0,30,6,100.0,9.80360441255792,14.685314685314685,90.19639558744207,9,26,79190.51576923077,39.46153846153846,18.0,10.928461538461537
SUP013,Global Systems,Furniture,8,Inactive,12,27108741.3,2259061.775,6.0,1.0,30,15,53.333333333333336,6.870073430845105,14.035087719298245,93.1299265691549,17,36,74452.20138888889,39.02777777777778,21.333333333333332,11.2625
SUP014,Global Industries,IT Equipment,5,Inactive,9,23625514.04,2625057.1155555556,2.2857142857142856,0.0,10,7,42.857142857142854,8.72024400507998,14.054726368159203,91.27975599492002,12,22,74743.75181818182,44.40909090909091,17.454545454545453,9.758181818181818
SUP015,Global Systems,Furniture,2,Inactive,11,34997997.84,3181636.1672727275,11.153846153846153,5.0,30,13,53.84615384615385,6.458619504425836,9.725158562367865,93.54138049557416,7,31,69234.90225806453,53.096774193548384,17.806451612903224,10.066129032258065
SUP016,Global Systems,Office Supplies,18,Active,10,32580700.72,3258070.0719999997,9.916666666666666,7.5,30,12,91.66666666666666,8.199419506911797,13.808463251670378,91.8005804930882,8,50,68418.6888,50.02,20.16,10.3596
SUP017,Prime Technologies,Electronics,25,Inactive,13,32519809.71,2501523.823846154,5.875,2.5,30,16,75.0,8.860517976582177,14.793741109530584,91.13948202341781,15,28,90011.55642857144,44.464285714285715,17.357142857142858,9.843928571428572
SUP018,Beta Technologies,Electronics,4,Active,6,21831657.08,3638609.513333333,9.857142857142858,10.0,30,7,100.0,6.979395177245277,13.881019830028329,93.02060482275472,7,30,62085.054333333326,42.3,20.2,9.802666666666665
SUP019,Tech Solutions,IT Equipment,9,Active,9,23208188.150000002,2578687.5722222226,6.888888888888889,5.0,15,9,88.88888888888889,5.982901339395553,9.513742071881607,94.01709866060445,3,49,80521.49979591837,52.816326530612244,19.591836734693878,10.601836734693878
SUP020,Nova Technologies,Industrial Equipment,14,Active,14,32277319.009999998,2305522.786428571,5.444444444444445,4.0,15,18,83.33333333333334,8.151361654783654,14.285714285714285,91.84863834521636,13,27,76145.81074074074,50.44444444444444,17.77777777777778,9.072592592592592
SUP021,Prime Industries,Electronics,24,Active,7,23283467.54,3326209.6485714284,6.714285714285714,1.0,15,7,71.42857142857143,7.155337257539567,13.333333333333334,92.84466274246044,6,31,70740.23903225808,38.645161290322584,21.677419354838708,9.992258064516129
SUP022,Delta Enterprises,IT Equipment,18,Active,7,18848766.46,2692680.922857143,12.5,12.5,30,6,83.33333333333334,4.470925949092026,11.87122736418511,95.52907405090797,9,45,87915.05377777778,45.46666666666667,18.133333333333333,9.758222222222223
SUP023,Beta Systems,Furniture,20,Active,8,16682823.02,2085352.8775,2.625,1.5,7,8,75.0,5.416699290114185,12.251655629139073,94.58330070988582,5,22,69802.84999999999,39.5,21.545454545454547,10.594090909090909
SUP024,Apex Industries,Office Supplies,15,Inactive,14,35964184.96,2568870.354285714,6.0,5.0,15,5,100.0,5.813982795359511,14.705882352941178,94.18601720464049,12,44,78939.68386363635,45.36363636363637,19.5,9.942272727272726
SUP025,Global Supplies,Furniture,12,Active,9,21825975.55,2425108.3944444447,6.8,3.5,30,10,70.0,5.835936907827793,14.34108527131783,94.16406309217221,14,30,71975.40633333333,45.166666666666664,19.0,10.211333333333332
SUP026,Vertex Systems,Office Supplies,6,Active,10,24950029.419999998,2495002.942,2.6,3.0,7,5,60.0,7.747874612565287,13.155080213903744,92.25212538743472,9,50,78578.70139999999,45.56,20.76,9.554400000000001
SUP027,Nova Technologies,Industrial Equipment,22,Inactive,9,25909295.36,2878810.5955555555,7.8,2.0,30,10,70.0,6.419417914449055,10.518934081346423,93.58058208555094,8,27,83519.59888888888,57.22222222222222,20.88888888888889,10.33925925925926
SUP028,Tech Enterprises,IT Equipment,21,Active,9,22629472.3,2514385.811111111,5.0,0.0,30,9,44.44444444444444,8.111196934678993,13.780918727915195,91.888803065321,11,30,59183.422,47.333333333333336,18.6,10.194333333333333
SUP029,Prime Systems,IT Equipment,2,Inactive,9,22668917.11,2518768.5677777776,6.0,6.0,7,2,100.0,7.2713937860866755,14.441416893732969,92.72860621391332,7,58,69051.71551724138,44.56896551724138,20.06896551724138,10.732758620689655
SUP030,Nova Systems,Electronics,19,Inactive,10,18375024.78,1837502.4780000001,3.75,2.0,15,12,75.0,5.86425296818299,13.402061855670103,94.13574703181702,11,21,77247.90095238095,43.857142857142854,19.714285714285715,10.046190476190477
SUP031,Nova Systems,IT Equipment,4,Active,11,32837262.119999997,2985205.647272727,5.0,2.5,15,6,66.66666666666666,5.915386157056062,13.953488372093023,94.08461384294394,14,31,69769.01161290322,44.096774193548384,18.967741935483872,10.327096774193548
SUP032,Gamma Systems,Industrial Equipment,19,Active,10,26384155.27,2638415.527,1.6666666666666667,2.0,3,3,66.66666666666666,9.21671090512967,13.408723747980615,90.78328909487033,4,42,79666.95952380952,45.333333333333336,18.857142857142858,9.888571428571428
SUP033,Alpha Technologies,Electronics,21,Active,6,8853897.51,1475649.585,8.142857142857142,5.0,30,7,85.71428571428571,9.384140362195495,12.831241283124129,90.6158596378045,4,41,70073.55634146341,43.073170731707314,21.365853658536587,9.557804878048781
SUP034,Prime Systems,Furniture,5,Active,11,25512534.23,2319321.2936363635,11.0,8.5,30,14,100.0,8.40939883305702,13.768115942028986,91.59060116694299,11,33,68499.8603030303,48.333333333333336,21.272727272727273,8.18878787878788
SUP035,Tech Enterprises,IT Equipment,12,Active,11,22711854.32,2064714.029090909,6.933333333333334,3.0,30,15,86.66666666666667,6.3520012344087675,12.750885478158205,93.64799876559124,16,51,74549.1625490196,43.27450980392157,20.235294117647058,9.067058823529413
SUP036,Alpha Solutions,Furniture,4,Active,9,23863692.9,2651521.433333333,6.818181818181818,7.0,15,11,81.81818181818183,7.303680832470041,13.108108108108107,92.69631916752996,8,24,70247.75583333333,45.541666666666664,16.5,9.733749999999999
SUP037,Tech Systems,Furniture,15,Active,3,9697288.75,3232429.5833333335,1.0,1.0,2,2,50.0,2.7698380513840193,5.387931034482758,97.23016194861597,2,28,58833.249285714286,48.535714285714285,15.857142857142858,11.540357142857143
SUP038,Tech Technologies,IT Equipment,24,Active,12,27127705.48,2260642.1233333335,9.25,2.5,30,16,62.5,7.244615060383195,14.792899408284024,92.7553849396168,15,22,58664.87772727273,46.36363636363637,19.90909090909091,9.455
SUP039,Gamma Industries,Office Supplies,3,Active,6,12850234.969999999,2141705.828333333,6.666666666666667,2.5,30,6,66.66666666666666,4.722354266863673,8.205128205128204,95.27764573313632,9,16,89028.16,52.6875,18.0,10.386875
SUP040,Vertex Industries,Furniture,11,Active,13,29464294.66,2266484.204615385,7.0,2.0,30,11,54.54545454545454,5.989505918116728,10.945273631840797,94.01049408188328,12,35,70706.85,45.114285714285714,21.257142857142856,8.74542857142857
SUP041,Beta Supplies,Electronics,25,Active,12,36623512.99,3051959.4158333335,2.0,1.0,7,13,61.53846153846154,6.851435923807707,14.916467780429594,93.1485640761923,11,44,74946.38568181818,45.75,21.272727272727273,9.806818181818182
SUP042,Global Solutions,IT Equipment,9,Active,13,27071261.71,2082404.746923077,9.923076923076923,7.0,30,13,76.92307692307693,7.18786363650181,14.5993413830955,92.8121363634982,12,48,76768.45125,52.083333333333336,21.25,8.835416666666665
SUP043,Global Solutions,Electronics,5,Active,9,25706194.21,2856243.8011111114,9.272727272727273,5.0,30,11,81.81818181818183,8.006988255234605,14.399999999999999,91.9930117447654,11,37,75339.29783783783,48.21621621621622,18.486486486486488,10.663783783783783
SUP044,Delta Industries,Furniture,13,Active,11,25017717.39,2274337.944545455,3.2142857142857144,2.5,10,14,78.57142857142857,4.548354383804983,8.81542699724518,95.45164561619502,6,52,80503.55384615385,46.80769230769231,20.307692307692307,10.545384615384616
SUP045,Alpha Supplies,Furniture,14,Inactive,11,35519961.31,3229087.391818182,7.636363636363637,10.0,15,11,100.0,6.719555775593937,14.541387024608502,93.28044422440605,15,39,78653.87564102563,47.92307692307692,20.0,9.857948717948718
SUP046,Apex Supplies,Electronics,17,Active,10,25576551.13,2557655.113,6.352941176470588,2.0,30,17,58.82352941176471,7.950336904925865,14.748784440842789,92.04966309507414,17,27,85577.8837037037,44.925925925925924,16.88888888888889,11.005185185185185
SUP047,Nova Technologies,Furniture,9,Active,8,19031375.36,2378921.92,7.833333333333333,5.0,30,12,75.0,11.051850466502462,13.526570048309178,88.94814953349754,4,24,51246.53833333333,40.791666666666664,17.0,9.412916666666666
SUP048,Tech Solutions,IT Equipment,24,Active,10,28574868.52,2857486.852,5.2727272727272725,7.0,15,11,81.81818181818183,6.870646670212338,12.903225806451612,93.12935332978766,12,62,69952.96048387096,41.693548387096776,18.096774193548388,11.302903225806451
SUP049,Vertex Enterprises,Furniture,14,Active,11,19588996.24,1780817.8399999999,2.272727272727273,1.0,10,11,54.54545454545454,5.961005690358709,11.899563318777293,94.03899430964128,8,31,83575.6341935484,56.67741935483871,19.548387096774192,11.367096774193548
SUP050,Global Technologies,Electronics,8,Active,13,45006336.379999995,3462025.875384615,5.5,2.0,30,12,58.333333333333336,9.227578832741177,14.583333333333334,90.77242116725883,15,33,84303.34484848485,38.303030303030305,21.454545454545453,8.909696969696968
SUP051,Global Supplies,Electronics,25,Inactive,16,41559443.12,2597465.195,7.2105263157894735,5.0,30,19,73.68421052631578,6.601446810639135,14.750762970498474,93.39855318936087,18,48,71832.36020833334,39.4375,20.375,9.80625
SUP052,Beta Solutions,IT Equipment,24,Active,9,20683716.11,2298190.678888889,7.75,6.0,30,8,87.5,7.43534885701644,14.285714285714285,92.56465114298355,10,55,72838.57181818182,50.2,18.87272727272727,10.324909090909092
SUP053,Delta Supplies,Electronics,13,Inactive,11,30251819.29,2750165.39,3.3333333333333335,0.0,15,9,44.44444444444444,7.048565363339014,14.102564102564102,92.95143463666098,13,25,69657.262,45.72,23.28,10.208400000000001
SUP054,Nova Solutions,Office Supplies,2,Active,15,41235618.2,2749041.2133333334,6.2,4.0,30,20,65.0,7.864552234726489,14.906832298136646,92.13544776527351,19,26,62104.51076923077,46.76923076923077,18.46153846153846,9.717692307692307
SUP055,Nova Industries,Furniture,16,Inactive,10,27488651.55,2748865.1550000003,6.7272727272727275,3.0,30,11,63.63636363636363,7.1160222632573005,14.518760195758565,92.88397773674271,15,36,78925.23305555555,51.138888888888886,17.833333333333332,9.090833333333332
SUP056,Alpha Systems,Electronics,15,Active,10,25943873.02,2594387.302,6.5,1.5,30,8,75.0,5.28915475743648,9.624060150375941,94.71084524256352,7,46,66950.80608695652,38.76086956521739,19.304347826086957,10.234130434782609
SUP057,Prime Technologies,Furniture,5,Active,18,38877003.15,2159833.5083333333,2.6666666666666665,0.5,15,12,50.0,8.141627688673399,14.63963963963964,91.8583723113266,16,23,80785.96,32.65217391304348,19.565217391304348,11.130869565217392
SUP058,Beta Systems,Electronics,17,Inactive,6,7870729.569999999,1311788.2616666665,4.111111111111111,1.0,15,9,66.66666666666666,7.253661566407111,12.258064516129032,92.74633843359288,6,21,76131.95952380952,39.04761904761905,17.142857142857142,10.915714285714285
SUP059,Global Systems,Electronics,22,Inactive,9,24059034.650000002,2673226.0722222226,8.428571428571429,7.0,30,7,71.42857142857143,8.144257882206558,14.973262032085561,91.85574211779344,11,39,67173.54846153846,44.1025641025641,19.692307692307693,9.007179487179489
SUP060,Vertex Enterprises,IT Equipment,4,Inactive,10,24258387.3,2425838.73,9.8,6.0,30,10,70.0,8.724764714688854,14.168618266978921,91.27523528531115,7,24,81944.52291666667,38.333333333333336,16.25,10.722083333333332
SUP061,Apex Supplies,Furniture,19,Active,9,30705025.240000002,3411669.4711111113,2.0,0.0,7,6,33.33333333333333,5.4078255627919045,10.887772194304858,94.5921744372081,10,25,76231.9972,50.24,18.0,9.026800000000001
SUP062,Global Systems,Electronics,5,Active,10,19896958.94,1989695.894,4.222222222222222,5.0,7,9,88.88888888888889,9.18393568755351,12.596401028277635,90.81606431244649,4,43,70857.93930232558,46.372093023255815,22.74418604651163,8.291162790697674
SUP063,Delta Industries,Office Supplies,19,Active,9,26774011.65,2974890.183333333,11.833333333333334,12.5,30,6,83.33333333333334,8.644324128757773,14.251781472684085,91.35567587124223,6,18,68851.32555555557,35.22222222222222,18.0,13.166111111111112
SUP064,Apex Industries,Industrial Equipment,12,Active,9,22065791.84,2451754.648888889,6.166666666666667,5.0,15,12,66.66666666666666,9.37905220574184,14.83957219251337,90.62094779425817,10,33,77728.6018181818,49.696969696969695,21.454545454545453,10.401818181818182
SUP065,Nova Industries,Industrial Equipment,2,Inactive,15,32382015.48,2158801.032,7.642857142857143,2.0,30,14,64.28571428571429,10.702124436392856,14.492753623188406,89.29787556360714,12,66,77475.92863636363,46.60606060606061,21.363636363636363,9.62439393939394
SUP066,Delta Enterprises,IT Equipment,25,Active,6,22558580.73,3759763.455,7.333333333333333,7.0,15,3,66.66666666666666,7.068809341837071,12.608695652173912,92.93119065816293,5,41,83418.22390243903,51.21951219512195,21.21951219512195,9.98219512195122
SUP067,Apex Solutions,IT Equipment,5,Active,17,39122074.45,2301298.4970588237,5.0,2.0,30,18,77.77777777777779,8.868999524561854,14.909638554216867,91.13100047543814,21,27,77096.54925925926,47.96296296296296,16.666666666666668,10.946666666666667
SUP068,Delta Solutions,Office Supplies,16,Active,8,21787883.96,2723485.495,4.142857142857143,2.0,10,7,71.42857142857143,7.732964747588692,13.071895424836603,92.26703525241132,11,45,86247.07044444444,45.2,21.333333333333332,9.366888888888889
SUP069,Alpha Industries,Furniture,6,Active,9,29597913.72,3288657.08,5.090909090909091,2.0,30,11,63.63636363636363,3.956447560422982,10.387596899224807,96.04355243957703,7,57,76861.25754385964,42.0,17.789473684210527,9.698070175438597
SUP070,Nova Technologies,IT Equipment,24,Active,6,17861937.81,2976989.635,9.4,2.0,30,5,60.0,7.591566244351806,13.384813384813384,92.4084337556482,9,44,86792.93863636363,47.02272727272727,18.40909090909091,8.854545454545455
SUP071,Global Technologies,Office Supplies,19,Inactive,10,32990477.950000003,3299047.7950000004,2.8,2.5,7,10,80.0,8.635493321659686,13.40909090909091,91.36450667834032,9,25,69324.29759999999,46.04,19.44,10.6432
SUP072,Beta Technologies,Electronics,21,Active,15,34356770.72,2290451.3813333334,5.363636363636363,2.0,30,11,81.81818181818183,8.93082208047361,14.886731391585762,91.0691779195264,11,36,75030.06138888889,38.44444444444444,18.833333333333332,8.930833333333332
SUP073,Nova Enterprises,Electronics,12,Active,12,28876296.17,2406358.0141666667,9.0,4.5,30,8,87.5,5.330298816801672,13.008130081300814,94.66970118319834,12,43,84412.58627906977,51.906976744186046,18.41860465116279,10.075348837209303
SUP074,Beta Enterprises,Industrial Equipment,13,Active,14,34330740.77,2452195.7692857147,8.5,6.0,30,16,87.5,6.431926158971313,14.18918918918919,93.56807384102868,20,19,85051.42210526316,48.1578947368421,18.94736842105263,9.07578947368421
SUP075,Vertex Enterprises,IT Equipment,17,Active,9,29416633.32,3268514.8133333335,7.0,2.5,30,6,100.0,6.360192780370232,14.399999999999999,93.63980721962977,16,34,70516.24176470588,54.205882352941174,19.58823529411765,10.379117647058823
SUP076,Nova Industries,IT Equipment,20,Active,6,14571204.49,2428534.0816666665,4.125,2.5,15,8,87.5,6.36970063144285,13.46578366445916,93.63029936855715,6,34,78157.3855882353,42.911764705882355,17.823529411764707,10.048529411764704
SUP077,Delta Enterprises,IT Equipment,22,Inactive,8,25448054.44,3181006.805,5.571428571428571,1.0,30,7,57.14285714285714,7.874847263761245,14.215686274509803,92.12515273623876,15,37,55610.227027027024,50.75675675675676,20.594594594594593,11.776216216216216
SUP078,Gamma Technologies,Furniture,2,Active,5,12423471.19,2484694.238,0.0,0.0,0,3,0.0,8.055294642700492,14.259927797833935,91.94470535729951,7,51,68780.96823529412,45.8235294117647,18.352941176470587,9.322156862745098
SUP079,Prime Supplies,Electronics,17,Inactive,7,20148353.43,2878336.2042857143,7.2,1.0,30,5,60.0,9.254684552325932,14.844533600802407,90.74531544767407,8,26,77647.37269230769,53.96153846153846,21.23076923076923,10.753846153846155
SUP080,Vertex Systems,Electronics,4,Active,11,27908709.0,2537155.3636363638,7.090909090909091,5.0,30,11,72.72727272727273,4.537296343230573,10.08695652173913,95.46270365676942,11,49,74422.96346938776,47.87755102040816,19.46938775510204,9.825918367346938
SUP081,Apex Supplies,Office Supplies,8,Active,11,26609059.98,2419005.4527272726,5.5,0.5,30,14,50.0,10.003340877353793,14.335664335664337,89.99665912264621,14,30,68548.08233333334,44.36666666666667,17.8,9.363666666666665
SUP082,Nova Technologies,IT Equipment,21,Inactive,9,16474049.59,1830449.9544444445,7.142857142857143,3.0,30,7,85.71428571428571,8.41868807560099,12.23021582733813,91.58131192439902,13,24,73224.78833333333,40.458333333333336,21.75,10.44375
SUP083,Beta Industries,Furniture,8,Active,10,27227857.689999998,2722785.769,10.75,12.5,30,12,83.33333333333334,6.364127157132524,10.54897739504844,93.63587284286747,9,31,87382.35935483871,53.96774193548387,18.967741935483872,10.43483870967742
SUP084,Tech Enterprises,IT Equipment,21,Active,14,50419777.39,3601412.6707142857,8.5,8.5,30,16,93.75,7.754639006935493,14.084507042253522,92.24536099306451,17,17,78816.59999999999,33.94117647058823,21.529411764705884,12.948823529411765
SUP085,Vertex Industries,IT Equipment,13,Active,12,25118093.83,2093174.485833333,2.3333333333333335,1.0,10,12,66.66666666666666,5.693158495319894,9.89010989010989,94.30684150468011,9,46,77920.65652173913,50.45652173913044,19.043478260869566,10.41304347826087
SUP086,Global Industries,Industrial Equipment,7,Inactive,7,14826308.05,2118044.007142857,4.714285714285714,3.0,10,7,57.14285714285714,10.755205631606414,14.19068736141907,89.24479436839358,4,46,82479.54065217392,45.71739130434783,18.26086956521739,9.942608695652174
SUP087,Alpha Technologies,Electronics,10,Active,4,13264545.469999999,3316136.3674999997,3.0,3.0,3,1,100.0,12.952799121844127,12.952799121844127,87.04720087815588,1,42,69946.20595238094,45.61904761904762,20.714285714285715,9.80142857142857
SUP088,Delta Industries,IT Equipment,14,Active,6,16075100.33,2679183.388333333,0.5,0.5,1,2,50.0,5.376832714121599,12.883435582822086,94.62316728587841,3,29,80291.24689655173,50.3448275862069,19.862068965517242,8.828275862068965
