supplier_id,average_defect_rate,median_defect_rate,maximum_defect_rate,inspection_count
SUP087,12.952799121844127,12.952799121844127,12.952799121844127,1
SUP002,12.40506329113924,12.40506329113924,12.40506329113924,1
SUP047,11.051850466502462,10.794961363395787,13.526570048309178,4
SUP093,10.7811998892247,11.456902472527473,13.565022421524663,6
SUP092,10.771684092851977,10.771684092851977,11.081081081081082,2
SUP086,10.755205631606414,11.119247646811974,14.19068736141907,4
SUP065,10.702124436392856,10.147805137224726,14.492753623188406,12
SUP010,10.69911322285023,12.38134953731284,14.770797962648558,4
SUP003,10.435493737984018,11.48936170212766,13.486370157819225,3
SUP081,10.003340877353793,9.6484566389025,14.335664335664337,14
SUP012,9.80360441255792,10.240963855421686,14.685314685314685,9
SUP100,9.543179816925738,10.71436794842275,14.021571648690292,10
SUP033,9.384140362195495,10.027078687480088,12.831241283124129,4
SUP064,9.37905220574184,10.186385737439222,14.83957219251337,10
SUP079,9.254684552325932,9.739164638493497,14.844533600802407,8
SUP050,9.227578832741177,9.424083769633508,14.583333333333334,15
SUP032,9.21671090512967,11.205107840460649,13.408723747980615,4
SUP062,9.18393568755351,8.371040723981901,12.596401028277635,4
SUP006,9.15846209166695,10.219259341390398,13.333333333333334,6
SUP072,8.93082208047361,9.107142857142856,14.886731391585762,11
SUP067,8.868999524561854,9.30232558139535,14.909638554216867,21
SUP017,8.860517976582177,10.144927536231885,14.793741109530584,15
SUP060,8.724764714688854,9.70464135021097,14.168618266978921,7
SUP014,8.72024400507998,10.024960391715574,14.054726368159203,12
SUP063,8.644324128757773,9.483746827151396,14.251781472684085,6
SUP071,8.635493321659686,11.05476673427992,13.40909090909091,9
SUP005,8.445533751551741,9.332688588007738,12.698412698412698,14
SUP082,8.41868807560099,9.335443037974683,12.23021582733813,13
SUP034,8.40939883305702,8.463251670378618,13.768115942028986,11
SUP016,8.199419506911797,8.124411487758945,13.808463251670378,8
SUP089,8.175974553250771,7.3457228936054975,14.604236343366777,10
SUP020,8.151361654783654,8.176100628930817,14.285714285714285,13
SUP059,8.144257882206558,11.210762331838566,14.973262032085561,11
SUP057,8.141627688673399,9.088406668293466,14.63963963963964,16
SUP090,8.130973190950197,9.29767140222524,14.205607476635516,14
SUP028,8.111196934678993,8.333333333333332,13.780918727915195,11
SUP078,8.055294642700492,8.108108108108109,14.259927797833935,7
SUP043,8.006988255234605,8.47457627118644,14.399999999999999,11
SUP046,7.950336904925865,7.816091954022989,14.748784440842789,17
SUP077,7.874847263761245,8.175355450236967,14.215686274509803,15
SUP054,7.864552234726489,7.6923076923076925,14.906832298136646,19
SUP084,7.754639006935493,8.450704225352112,14.084507042253522,17
SUP026,7.747874612565287,7.478632478632479,13.155080213903744,9
SUP068,7.732964747588692,8.181818181818182,13.071895424836603,11
SUP070,7.591566244351806,6.394316163410302,13.384813384813384,9
SUP052,7.43534885701644,8.309656536594137,14.285714285714285,10
SUP096,7.430665729659451,7.715029511190339,14.473684210526317,22
SUP036,7.303680832470041,6.514933277896571,13.108108108108107,8
SUP029,7.2713937860866755,6.363636363636363,14.441416893732969,7
SUP058,7.253661566407111,7.200813758190807,12.258064516129032,6
SUP038,7.244615060383195,6.1440677966101696,14.792899408284024,15
SUP008,7.198434962397676,6.25,13.75770020533881,13
SUP042,7.18786363650181,6.044786066557071,14.5993413830955,12
SUP021,7.155337257539567,6.768246172164239,13.333333333333334,6
SUP055,7.1160222632573005,7.249999999999999,14.518760195758565,15
SUP007,7.09170184271205,7.535309843781871,12.023460410557185,4
SUP066,7.068809341837071,9.554140127388536,12.608695652173912,5
SUP053,7.048565363339014,5.679862306368331,14.102564102564102,13
SUP018,6.979395177245277,7.664233576642336,13.881019830028329,7
SUP009,6.9043990206967765,6.435643564356436,13.064516129032258,21
SUP048,6.870646670212338,6.430090377458798,12.903225806451612,12
SUP013,6.870073430845105,5.923344947735192,14.035087719298245,17
SUP041,6.851435923807707,6.2745098039215685,14.916467780429594,11
SUP004,6.850011941437046,6.25,14.655172413793101,15
SUP099,6.735556673429338,7.693928515685968,11.716621253405995,10
SUP045,6.719555775593937,5.0,14.541387024608502,15
SUP095,6.627566432647403,6.133794779279113,12.686567164179104,6
SUP011,6.615774863040914,6.336659957508666,14.060258249641318,8
SUP094,6.605687069332189,6.040161048499857,13.03680981595092,10
SUP051,6.601446810639135,7.085019198216424,14.750762970498474,18
SUP001,6.4992339709262765,7.77422790202343,13.65149833518313,5
SUP015,6.458619504425836,8.150470219435736,9.725158562367865,7
SUP074,6.431926158971313,5.345559517744948,14.18918918918919,20
SUP027,6.419417914449055,7.256953603563996,10.518934081346423,8
SUP076,6.36970063144285,6.4002639651851325,13.46578366445916,6
SUP083,6.364127157132524,7.795698924731183,10.54897739504844,9
SUP075,6.360192780370232,6.211206748739755,14.399999999999999,16
SUP035,6.3520012344087675,5.774523549877966,12.750885478158205,16
SUP098,6.089481658061435,5.383580080753701,13.668061366806135,13
SUP040,5.989505918116728,6.32853963362438,10.945273631840797,12
SUP019,5.982901339395553,5.1194539249146755,9.513742071881607,3
SUP049,5.961005690358709,4.931982839110754,11.899563318777293,8
SUP031,5.915386157056062,4.309785546945395,13.953488372093023,14
SUP030,5.86425296818299,3.3057851239669422,13.402061855670103,11
SUP025,5.835936907827793,5.074510155495124,14.34108527131783,14
SUP024,5.813982795359511,3.552754435107376,14.705882352941178,12
SUP085,5.693158495319894,6.097560975609756,9.89010989010989,9
SUP023,5.416699290114185,3.501945525291829,12.251655629139073,5
SUP061,5.4078255627919045,4.517133956386292,10.887772194304858,10
SUP088,5.376832714121599,2.127659574468085,12.883435582822086,3
SUP073,5.330298816801672,4.660677988328635,13.008130081300814,12
SUP056,5.28915475743648,4.72972972972973,9.624060150375941,7
SUP097,5.096960872402995,0.7281553398058253,13.973799126637553,3
SUP039,4.722354266863673,5.6675062972292185,8.205128205128204,9
SUP044,4.548354383804983,5.323670603815106,8.81542699724518,6
SUP080,4.537296343230573,3.6565977742448332,10.08695652173913,11
SUP022,4.470925949092026,2.3923444976076556,11.87122736418511,9
SUP069,3.956447560422982,3.783231083844581,10.387596899224807,7
SUP037,2.7698380513840193,2.7698380513840193,5.387931034482758,2
SUP091,1.5308948051597862,1.2797074954296161,3.751617076326003,9
