supplier_name,total_amount
Global Systems,138643433.45
Nova Technologies,121924902.06
Tech Enterprises,116762706.89
Vertex Systems,97650039.33
Global Solutions,91316408.3
Delta Industries,88361230.42
Vertex Enterprises,88329804.84
Gamma Industries,83423860.64
Apex Supplies,82890636.35
Tech Solutions,81383726.13
Nova Enterprises,80650299.99
Global Technologies,77996814.33
Alpha Enterprises,75404424.19
Vertex Industries,75318237.67
Nova Industries,74441871.52
Prime Technologies,71396812.86
Gamma Technologies,70002749.88
Delta Enterprises,66855401.63
Global Supplies,63385418.67
Beta Supplies,61877449.67
Apex Industries,58029976.8
Beta Technologies,56188427.8
Nova Systems,51212286.9
Prime Systems,48181451.34
Vertex Technologies,45757954.41
Nova Solutions,41235618.2
Apex Solutions,39122074.45
Global Industries,38451822.09
Tech Systems,37257858.35
Alpha Supplies,35519961.31
Beta Enterprises,34330740.77
Delta Supplies,30251819.29
Alpha Industries,29597913.72
Apex Enterprises,28106485.08
Beta Industries,27227857.689999998
Tech Technologies,27127705.48
Gamma Systems,26384155.27
Alpha Systems,25943873.02
Prime Solutions,25864844.37
Beta Systems,24553552.59
Alpha Solutions,23863692.9
Prime Industries,23283467.54
Alpha Technologies,22118442.98
Delta Solutions,21787883.96
Beta Solutions,20683716.11
Prime Supplies,20148353.43
Tech Supplies,9958258.870000001
